Breed_Name,Animal_Type,Category,Primary_Region,Priority_Level,Target_Images,Side_Profile_Images,Front_View_Images,Rear_View_Images,Head_Closeup_Images,Full_Body_Images,Adult_Male_Percentage,Adult_Female_Percentage,Young_Adult_Percentage,Calves_Percentage,Outdoor_Sunlight_Percentage,Outdoor_Shade_Percentage,Indoor_Stable_Percentage,Grazing_Field_Percentage,Key_Identification_Features,Collection_Notes
Gir,Cattle,Indigenous Dairy,Gujarat,High,800-1000,320-400,160-200,120-150,120-150,80-100,30%,35%,20%,15%,40%,30%,20%,10%,"Curved backward horns, large drooping ears, dished forehead, well-developed dewlap, white/grey/red coloration",High milk yield
Red Sindhi,Cattle,Indigenous Dairy,Sindh (now Pakistan) and India,High,800-1000,320-400,160-200,120-150,120-150,80-100,30%,35%,20%,15%,40%,30%,20%,10%,"Red coloration, short thick horns, compact build, white face markings",Popular milch breed
Sahiwal,Cattle,Indigenous Dairy,Punjab and Haryana,High,800-1000,320-400,160-200,120-150,120-150,80-100,30%,35%,20%,15%,40%,30%,20%,10%,"Light red color, short stumpy horns, large frame, well-developed hump",Highly adapted to heat
Tharparkar,Cattle,Indigenous Dual Purpose,Rajasthan,High,800-1000,320-400,160-200,120-150,120-150,80-100,30%,35%,20%,15%,40%,30%,20%,10%,Breed-specific features for Tharparkar - refer to breed standards,Dual purpose utility
Kankrej,Cattle,Indigenous Dual Purpose,Gujarat and Rajasthan,Medium,600-800,240-320,120-160,90-120,90-120,60-80,30%,35%,20%,15%,40%,30%,20%,10%,Breed-specific features for Kankrej - refer to breed standards,Good draught and milk
Ongole,Cattle,Indigenous Dual Purpose,Andhra Pradesh and Tamil Nadu,Medium,600-800,240-320,120-160,90-120,90-120,60-80,30%,35%,20%,15%,40%,30%,20%,10%,Breed-specific features for Ongole - refer to breed standards,Strong draught power
Hariana,Cattle,Indigenous Dual Purpose,Haryana and western UP,Medium,600-800,240-320,120-160,90-120,90-120,60-80,30%,35%,20%,15%,40%,30%,20%,10%,Breed-specific features for Hariana - refer to breed standards,
Deoni,Cattle,Indigenous Dual Purpose,Maharashtra and Karnataka,Medium,600-800,240-320,120-160,90-120,90-120,60-80,30%,35%,20%,15%,40%,30%,20%,10%,Breed-specific features for Deoni - refer to breed standards,
Krishna Valley,Cattle,Indigenous Dual Purpose,Karnataka,Standard,500-600,200-240,100-120,75-90,75-90,50-60,30%,35%,20%,15%,40%,30%,20%,10%,Breed-specific features for Krishna Valley - refer to breed standards,
Amritmahal,Cattle,Indigenous Draught,Karnataka,Standard,500-600,200-240,100-120,75-90,75-90,50-60,30%,35%,20%,15%,40%,30%,20%,10%,Breed-specific features for Amritmahal - refer to breed standards,
Hallikar,Cattle,Indigenous Draught,Karnataka,Standard,500-600,200-240,100-120,75-90,75-90,50-60,30%,35%,20%,15%,40%,30%,20%,10%,Breed-specific features for Hallikar - refer to breed standards,
Khillari,Cattle,Indigenous Draught,Maharashtra and Karnataka,Standard,500-600,200-240,100-120,75-90,75-90,50-60,30%,35%,20%,15%,40%,30%,20%,10%,Breed-specific features for Khillari - refer to breed standards,
Kangayam,Cattle,Indigenous Draught,Tamil Nadu,Standard,500-600,200-240,100-120,75-90,75-90,50-60,30%,35%,20%,15%,40%,30%,20%,10%,Breed-specific features for Kangayam - refer to breed standards,
Bargur,Cattle,Indigenous Draught,Tamil Nadu,Standard,500-600,200-240,100-120,75-90,75-90,50-60,30%,35%,20%,15%,40%,30%,20%,10%,Breed-specific features for Bargur - refer to breed standards,
